ID,PLOT,BLOCK,TRT,REP,CODE,EVAL,DAP,FLM,FSM,FTM,FRM,NOT,sFLM,sFSM,sFTM,sFRM,sDLM,sDSM,sDTM,sDRM,,
43,11,3,Amarilis,3,AMA,E1,94,543.9,373.7,942.8,99.2,20,103.3,101.1,101.6,98.2,10.3,7.6,13.9,12,,
44,11,3,Amarilis,4,AMA,E1,94,467.5,314.8,852.2,66.2,14,102.3,99.7,NA,66.2,11.3,6,11.6,9.1,,
45,12,3,Yungay,1,YUN,E1,94,522.5,264.9,462,189.6,33,101.6,101.8,99.3,100.7,12.2,7.8,13.7,14.8,,
46,12,3,Yungay,2,YUN,E1,94,444,255.6,268.6,142,21,101.1,100.5,102.2,99.7,9.1,5.8,13.3,11.5,,
47,12,3,Yungay,3,YUN,E1,94,623.3,397,372.7,141.2,32,100,101.3,101.3,100.7,9.3,7.3,12.5,16.5,,
48,12,3,Yungay,4,YUN,E1,94,305,160.1,159.4,100.2,18,100.3,101.3,99.7,96.6,10.3,5.7,11.6,13.5,,
49,13,3,Bretaña,1,BRE,E1,94,578.7,431.1,200.1,79.9,9,100.9,100.9,99.3,79.9,9.9,6.5,16.2,11.1,,
50,13,3,Bretaña,2,BRE,E1,94,313.8,273.2,94.2,58.6,8,101.1,100.2,94.2,58.6,9.7,6.4,15.3,7.8,,
51,13,3,Bretaña,3,BRE,E1,94,421.3,202.5,93.1,78.4,6,101.8,101.1,93.1,77.9,8.6,6.7,14.7,9.5,,
52,13,3,Bretaña,4,BRE,E1,94,252.4,138,9.6,61.4,3,100.5,103,9.6,50.7,9.1,7.4,1.4,6.7,,
53,14,3,Poderosa,1,POD,E1,94,1110.2,1262.8,156.2,109.1,9,101.1,100.8,99.7,97.2,13.1,8.8,15.4,18.3,,
54,14,3,Poderosa,2,POD,E1,94,843.2,1010.5,197.3,111.8,15,101.8,101.8,99.2,100.2,12.8,8.8,14.3,18.2,,
55,14,3,Poderosa,3,POD,E1,94,932.8,941.2,216.6,11.5,11,100.7,100.3,100.2,99.5,10.3,7.6,14.3,14.7,,
56,14,3,Poderosa,4,POD,E1,94,336.3,329.9,34.3,41.8,3,100.4,101.2,34.3,41.8,8.7,7.1,5,5.7,,
57,15,3,Huevo de Indio,1,HUE,E1,94,530.6,369.4,265.6,106.6,13,101.8,100.6,109.1,100.6,9.3,6.1,16.8,10.9,,
58,15,3,Huevo de Indio,2,HUE,E1,94,485.8,398.1,248.7,88.8,15,100.6,101.9,103.7,88.8,10.9,7.7,15.5,9.9,,
59,15,3,Huevo de Indio,3,HUE,E1,94,414.5,332,226.4,95.2,11,100.4,100.9,99.9,95.2,10.2,7.2,14.3,12.5,,
60,15,3,Huevo de Indio,4,HUE,E1,94,345.5,304.3,198.6,74.2,10,101.1,100.2,103.9,74.2,9.5,6.1,16.2,8.7,,
61,16,4,Amarilis,1,AMA,E1,94,477,219.2,530,44.7,14,101.3,100.4,108.1,44.7,8.4,5.7,12.9,5,,
62,16,4,Amarilis,2,AMA,E1,94,453.9,236.3,636.8,48.4,13,100.2,100.8,103.9,48.4,10.2,6.6,13.6,5.5,,
63,16,4,Amarilis,3,AMA,E1,94,739.3,339.7,1569,66.8,31,100.1,100.7,100.1,104,12.2,7.2,15.3,9,,
