ID,PLOT,BLOCK,TRT,REP,CODE,EVAL,DAP,FLM,FSM,FTM,FRM,NOT,sFLM,sFSM,sFTM,sFRM,sDLM,sDSM,sDTM,sDRM,,
185,7,2,Amarilis,1,AMA,E3,113,303.6,212.3,1312.2,109.5,27,100.3,101,104.1,103.2,11.2,9.3,13.1,14.1,,
186,7,2,Amarilis,2,AMA,E3,113,347.6,182.4,1292.8,92.2,19,100,103.2,108.8,92.2,11.4,9.6,18.8,12.1,,
187,7,2,Amarilis,3,AMA,E3,113,449.5,286.2,1400.5,69.4,14,100.2,99.8,108.4,69.4,10.6,9.5,21.2,8.4,,
188,7,2,Amarilis,4,AMA,E3,113,194.9,164.9,584.5,39.2,13,100.7,99.8,95.5,39.2,10.4,8.2,14.5,4.1,,
189,8,2,Huevo de Indio,1,HUE,E3,136,655.2,561.5,1413.8,129.9,22,100.7,101.4,103.5,101.6,12.4,10.5,26,17.7,,
190,8,2,Huevo de Indio,2,HUE,E3,136,685.1,616.3,1310.9,136.4,22,101.3,101.2,102.1,99.8,10.6,9,26.1,15.3,,
191,8,2,Huevo de Indio,3,HUE,E3,136,206.5,194.7,606,70.4,17,100.6,101,101.3,70.4,11.7,8.4,25.8,8.4,,
192,8,2,Huevo de Indio,4,HUE,E3,136,307.3,247.9,555.8,105.8,14,100.5,102.7,107.2,101.2,11.9,8.9,27.9,13.6,,
193,9,2,Bretaña,1,BRE,E3,136,533.9,517.3,511.6,91,16,101,100.8,106.5,91,11.1,9.5,24.9,13.6,,
194,9,2,Bretaña,2,BRE,E3,136,724.9,707.1,1237.6,117.8,21,101.8,101,102.3,102.9,11.7,11,23.5,15.4,,
195,9,2,Bretaña,3,BRE,E3,136,300.4,336.9,475.4,93.8,13,102.3,101,102.1,93.8,9,8.4,23.4,10,,
196,9,2,Bretaña,4,BRE,E3,136,929.2,982.7,1423.4,166.8,17,101,100.1,102.5,101.6,10.8,10.1,24.8,16,,
197,10,2,Poderosa,1,POD,E3,136,422.5,692.2,1536.8,89.2,11,100.7,103.4,108.5,89.2,11.9,9.6,24.6,11.7,,
198,10,2,Poderosa,2,POD,E3,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
199,10,2,Poderosa,3,POD,E3,136,297.5,557.3,1082.2,68.1,18,102,100.8,100.9,68.1,9,9.3,23.8,9,,
200,10,2,Poderosa,4,POD,E3,136,506.1,851.6,1766.5,129.1,23,100.5,100.4,100,100,10.7,10.6,23.4,11.3,,
201,11,3,Amarilis,1,AMA,E3,113,615.1,563.5,2311.5,102.5,30,100.2,101.1,107.5,101.2,18.5,8.2,16.9,14.4,,
202,11,3,Amarilis,2,AMA,E3,113,397.4,260.4,1388.6,62.1,15,100.4,100.9,104.2,62.1,11.2,9.4,20.8,11.2,,
203,11,3,Amarilis,3,AMA,E3,113,523.9,294.9,1427.8,81.2,15,100.1,102.6,96,81.2,10.4,8.3,21.4,8.9,,
204,11,3,Amarilis,4,AMA,E3,113,267.3,184,1139.6,46.3,16,100.4,99.9,108.5,46.3,10.6,8.5,21.5,5.1,,
205,12,3,Yungay,1,YUN,E3,136,201.8,149.7,301.6,26.1,6,101.5,101,106.4,26.1,9.5,8.5,22.5,4.7,,
206,12,3,Yungay,2,YUN,E3,136,654.3,494.1,1361.7,141.8,28,101.4,102,107.2,101.5,9.7,10.3,19.5,18.4,,
207,12,3,Yungay,3,YUN,E3,136,685.9,646.8,2035.7,95.5,28,100.3,101.1,101.2,95.5,10.1,8.7,19.4,18.5,,
208,12,3,Yungay,4,YUN,E3,136,719.5,490,2266.9,140.1,30,101.7,101.3,100.8,101.8,9.8,10.4,19,15.6,,
209,13,3,Bretaña,1,BRE,E3,136,427.5,307.2,581.7,76.7,11,100.3,101.4,109.8,76.7,9.5,8.5,26.6,11.8,,
210,13,3,Bretaña,2,BRE,E3,136,718.1,470,771.4,54.4,12,101.2,101.2,108,54.4,10,8.9,28,9.6,,
211,13,3,Bretaña,3,BRE,E3,136,935.5,628.9,793.2,87.8,11,100.2,100.9,106.1,87.8,9.5,8.7,25.3,13.4,,
212,13,3,Bretaña,4,BRE,E3,136,845.7,806.3,1033.1,88,24,102.5,101.8,102.1,88,9.9,8.6,25.7,14.2,,
213,14,3,Poderosa,1,POD,E3,136,945.3,1364.3,2498.9,83.2,28,101.7,100.3,106,83.2,11.8,10.5,23.8,19.6,,
214,14,3,Poderosa,2,POD,E3,136,792.4,1061.4,1894.7,145,19,101.3,100.8,102.3,100.8,12,11.6,24.6,20.8,,
215,14,3,Poderosa,3,POD,E3,136,845.9,944.2,2030.7,68.4,18,100.5,102.5,102.9,68.4,13.2,13.3,21.8,17.9,,
216,14,3,Poderosa,4,POD,E3,136,812,1141.9,2280.1,86.3,22,100.1,101.7,106.2,86.3,12,12.6,22.9,21.5,,
217,15,3,Huevo de Indio,1,HUE,E3,136,449.9,420.3,1200.7,84.3,17,101,100.3,106.1,84.3,8.2,6.4,23.8,9.3,,
218,15,3,Huevo de Indio,2,HUE,E3,136,788.2,692.6,1988.4,74.5,13,100,102.6,105.2,74.5,8.6,8.3,24.3,9.7,,
219,15,3,Huevo de Indio,3,HUE,E3,136,451.8,473.6,1220.5,75.8,13,100,101.1,101.5,75.8,10,7.9,23,8.5,,
220,15,3,Huevo de Indio,4,HUE,E3,136,345.5,313.6,953.3,53.3,15,100.6,100.4,106.7,53.3,8.3,6.3,21.6,6.1,,
221,16,4,Amarilis,1,AMA,E3,113,429.2,243.2,987.1,42.1,12,101,99.6,95.2,42.1,8.5,7.2,15.3,5,,
222,16,4,Amarilis,2,AMA,E3,113,709,479.4,1539.2,75.7,16,100.5,99.9,101.8,75.7,7.9,9.3,14.4,10.5,,
223,16,4,Amarilis,3,AMA,E3,113,306.9,211,830.2,37.5,15,100.3,100.8,99.2,37.5,8.8,7.8,15.7,4.2,,
224,16,4,Amarilis,4,AMA,E3,113,481.6,476.6,1689.7,50.6,8,100.1,101,107.9,50.6,10.5,7.6,13.3,6.2,,
225,17,4,Bretaña,1,BRE,E3,136,411.2,483.5,564.3,78.3,13,102.1,102.4,100.4,78.3,8.8,7.5,20.7,8.8,,
226,17,4,Bretaña,2,BRE,E3,136,860.2,882.6,994.6,92.6,14,100.9,101.7,101.8,92.6,8.5,8.2,22.3,13,,
227,17,4,Bretaña,3,BRE,E3,136,378,641.4,507.6,67.7,6,100.6,100.7,107.8,67.7,9,6.5,26.8,7.5,,
228,17,4,Bretaña,4,BRE,E3,136,473.8,485.5,521,95.6,6,100.7,101.1,107.5,95.6,9.6,7.7,25.8,12.2,,
229,18,4,Huevo de Indio,1,HUE,E3,136,376,279.3,740.2,86.2,18,102.1,101.5,102.1,86.2,12.1,8,25.1,11.3,,
230,18,4,Huevo de Indio,2,HUE,E3,136,678.1,617.8,1551.9,141.4,25,101.4,101.1,103.2,104,11.8,9.5,25.8,14.4,,
231,18,4,Huevo de Indio,3,HUE,E3,136,395.4,253.9,663.4,50.6,12,101.7,102,105.4,50.6,12.2,9.9,28.8,7.3,,
232,18,4,Huevo de Indio,4,HUE,E3,136,355.3,245.1,620.5,82.1,13,100.5,100.6,106.7,82.1,11.1,9.6,25.5,11.9,,
233,19,4,Poderosa,1,POD,E3,136,441.7,547.7,1031.4,93,29,103.4,101.5,98.6,93,11.9,9.9,22.9,15.2,,
234,19,4,Poderosa,2,POD,E3,136,624.9,717.4,1584.4,139,28,100.5,99.9,109.1,101.5,13,10.8,24.8,16.9,,
235,19,4,Poderosa,3,POD,E3,136,492.9,619.4,1117.2,126.4,27,101.7,101.6,101.3,100.1,11.8,9.7,24.6,18,,
236,19,4,Poderosa,4,POD,E3,136,788.2,1040.5,986.4,90.3,13,102.1,101.4,103.8,90.3,10,10.6,22.8,13.3,,
237,20,4,Yungay,1,YUN,E3,136,476.9,443.4,1534.2,136.7,20,100.3,102.7,97.9,102.1,10.9,9.9,17.3,13.5,,
238,20,4,Yungay,2,YUN,E3,136,584,467.7,973.9,159.2,20,100.5,101.3,103.5,100.3,10.5,8.6,15.9,13.4,,
239,20,4,Yungay,3,YUN,E3,136,787.4,623.7,2569.2,152,28,100.4,101.4,105.4,101.4,11.4,11,18.4,16.2,,
240,20,4,Yungay,4,YUN,E3,136,830.9,675.6,2153,184.9,15,100.7,101.3,105.9,100.3,11.9,12,20.2,16.7,,
241,1,1,Yungay,1,YUN,E4,154,494.4,663.4,2628.5,88,31,100.3,100.5,107.7,88,13.2,7.4,16.2,15.3,,
242,1,1,Yungay,2,YUN,E4,154,143.7,182.7,1404.2,27,13,101,101.1,101.6,27,12.9,8.9,15.5,5.4,,
243,1,1,Yungay,3,YUN,E4,154,508.9,590.9,2609.9,55.5,23,101.6,101,104,55.5,13.3,9,19.3,14.3,,
244,1,1,Yungay,4,YUN,E4,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
245,2,1,Huevo de Indio,1,HUE,E4,154,211.6,313.9,1324.5,52.4,21,102.4,102.2,111,52.4,13.8,8.1,28.1,11,,
246,2,1,Huevo de Indio,2,HUE,E4,154,46.4,55.8,392.5,15.5,19,46.4,55.8,107.3,15.5,10.7,5.7,21.2,4.2,,
247,2,1,Huevo de Indio,3,HUE,E4,154,120,259.5,996.1,59.3,18,101.4,100.5,104.2,59.3,21.9,9.8,25.3,10.9,,
248,2,1,Huevo de Indio,4,HUE,E4,154,138.3,204.1,1003,28.9,14,100.7,103.2,115.9,28.9,13.8,9.2,31.7,6.1,,
249,3,1,Poderosa,1,POD,E4,154,339.2,657.1,2562.3,65.3,16,103.9,102.4,111.2,65.3,17.3,14.6,27.1,14.1,,
250,3,1,Poderosa,2,POD,E4,154,332.1,771.8,2388.9,70.7,18,101.3,102.5,110,70.7,19.1,13.5,25.6,11.4,,
251,3,1,Poderosa,3,POD,E4,154,90.3,546.2,813.6,47.5,10,90.3,100.5,102.1,47.5,24.4,9.6,22.5,7.3,,
252,3,1,Poderosa,4,POD,E4,154,193.4,650.8,1410.6,88.4,17,100.7,103,103.1,88.4,23.3,9.9,23.4,14.1,,
253,4,1,Bretaña,1,BRE,E4,154,305.6,533.9,1407.2,87.9,27,104.5,101.6,101.6,87.9,13,9.5,25.2,11.5,,
254,4,1,Bretaña,2,BRE,E4,154,277.8,373.2,1134.2,51.3,11,102.9,101.6,106.8,51.3,13,8.2,21.9,8.5,,
255,4,1,Bretaña,3,BRE,E4,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
256,4,1,Bretaña,4,BRE,E4,154,157.2,537.7,696.4,44.9,12,100.9,104.2,102.2,44.9,13.2,7.3,21.4,6.5,,
257,5,1,Amarilis,1,AMA,E4,136,670.7,500,2994.2,66.2,19,100.7,101.2,105.3,66.2,10.9,8.6,20.6,8.7,,
258,5,1,Amarilis,2,AMA,E4,136,260.9,192.8,1640.8,57.5,16,100.5,100.4,103.5,57.5,9.5,6.7,15.3,5.4,,
259,5,1,Amarilis,3,AMA,E4,136,288.4,195.5,2141.9,67.7,21,100.4,99.9,106.3,67.7,9.6,7.5,11.5,7.2,,
260,5,1,Amarilis,4,AMA,E4,136,240,198.6,1452.1,31.1,7,100.4,100.4,106.7,31.1,11.4,8.5,16.5,4,,
261,6,2,Yungay,1,YUN,E4,154,247.4,332.2,1167.2,40.4,13,102.9,104.4,115.4,40.4,14.1,8.1,16.4,7.7,,
262,6,2,Yungay,2,YUN,E4,154,562.7,882.1,4331.7,138.9,33,102.3,104.9,116.6,106.6,20.5,8.8,20.5,17.1,,
263,6,2,Yungay,3,YUN,E4,154,73.5,343.2,1572.2,34.8,20,73.5,101.7,102.8,34.8,27.9,11.9,10.9,7.3,,
264,6,2,Yungay,4,YUN,E4,154,338.7,918.1,4426.3,117.8,33,102.7,100.5,100.2,102.8,17.4,9,17.9,19,,
265,7,2,Amarilis,1,AMA,E4,136,503,290.4,1785.2,56.6,11,100.2,100.6,100.2,56.6,8.4,6.4,17.9,5.3,,
266,7,2,Amarilis,2,AMA,E4,136,149.9,155.9,1806.1,31.6,8,100.3,100.5,106.9,31.6,9.9,6.4,17.7,2.9,,
267,7,2,Amarilis,3,AMA,E4,136,348.7,261.9,2627.9,54,12,100.1,102.1,109.7,54,14.4,9.1,16,5.8,,
268,7,2,Amarilis,4,AMA,E4,136,246.4,175,1429.6,42.3,15,101.5,102.8,108.5,42.3,9.3,7.3,21.4,4.5,,
269,8,2,Huevo de Indio,1,HUE,E4,154,222.2,375.8,1061,64.6,17,100.4,100.6,103.2,64.6,14.9,8.2,25.2,8.4,,
270,8,2,Huevo de Indio,2,HUE,E4,154,183.9,270.9,784.5,56.6,21,101.3,102.6,102.7,56.6,13.5,7.9,23.4,7.5,,
271,8,2,Huevo de Indio,3,HUE,E4,154,361.3,356.7,1398.7,59.8,14,102.7,101.3,102.3,59.8,12.9,8.9,26.8,9.2,,
272,8,2,Huevo de Indio,4,HUE,E4,154,436.7,566,1501.1,127.5,24,101.5,100.2,106.8,103,12.6,8.3,26.4,15.5,,
273,9,2,Bretaña,1,BRE,E4,154,381.9,679.9,1538.9,147.8,25,100.9,102.2,105.9,100.5,11.8,7.3,27.4,15.3,,
274,9,2,Bretaña,2,BRE,E4,154,574.1,849.4,895.9,91,15,102.2,101.8,109.8,91,11.3,7.3,26,12.4,,
275,9,2,Bretaña,3,BRE,E4,154,504.3,521.9,1332.2,66.4,13,102.3,101.4,105.7,66.4,10.5,9,22,11.3,,
276,9,2,Bretaña,4,BRE,E4,154,483,797.5,938,70.3,11,102.2,102.8,100.7,70.3,14.4,8.6,25.7,10.4,,
277,10,2,Poderosa,1,POD,E4,154,644,1712.3,1456.1,95.4,13,100.7,102,100.7,95.4,13.3,11.1,18.3,16.3,,
278,10,2,Poderosa,2,POD,E4,154,226.3,1025.8,1361.9,98.3,13,100.4,104.5,103.8,98.3,15,8.8,22.4,12.1,,
279,10,2,Poderosa,3,POD,E4,154,353,1409.2,2692.2,102.1,26,100.7,101.5,105.1,100.9,14.2,8.4,19.6,13.8,,
280,10,2,Poderosa,4,POD,E4,154,407.8,1323.6,2573.8,96.6,19,102.2,103.7,100,96.6,17.1,10,18.6,15.2,,
281,11,3,Amarilis,1,AMA,E4,136,564.8,336,2359.6,70.2,18,100.2,100.7,108.4,70.2,9.1,7.8,22,9.8,,
282,11,3,Amarilis,2,AMA,E4,136,733.9,501.3,3000.7,94.3,24,100.6,100.5,100.3,94.3,9.9,8.3,21,12.8,,
283,11,3,Amarilis,3,AMA,E4,136,830.4,462.9,3258.8,108.6,26,100.4,101.7,105,100.5,9.3,8.8,17.8,13.1,,
284,11,3,Amarilis,4,AMA,E4,136,396,260.2,2095.6,63.1,16,100,100.7,99.9,63.1,10.4,8.2,22.1,8.5,,
285,12,3,Yungay,1,YUN,E4,154,220.4,268.1,1237.9,72.3,18,100.2,101.6,100.3,72.3,12.3,9.8,17.3,12.3,,
286,12,3,Yungay,2,YUN,E4,154,123.4,102.5,520.2,15.9,14,100.3,100.6,105.2,15.9,12.6,9.5,21.4,3.8,,
287,12,3,Yungay,3,YUN,E4,154,139.9,93.8,883,40.9,20,101.2,93.8,101.3,40.9,12.4,9.4,15.6,7,,
288,12,3,Yungay,4,YUN,E4,154,192.9,219,1259,37.5,26,100.7,101,101,37.5,14.4,10.6,20.7,7.8,,
289,13,3,Bretaña,1,BRE,E4,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
290,13,3,Bretaña,2,BRE,E4,154,446.4,433.6,914.7,140.4,16,101.6,101.4,102.3,103.2,11.5,7.8,22.4,16.3,,
291,13,3,Bretaña,3,BRE,E4,154,494.8,410.7,1163.1,38.7,17,100.2,102.9,101.5,38.7,10.5,8.7,25.5,8,,
292,13,3,Bretaña,4,BRE,E4,154,183,177.5,1088,22.6,23,100.1,102.1,103.1,22.6,15.5,13.1,24.4,5.7,,
293,14,3,Poderosa,1,POD,E4,154,204.6,592.8,2097.1,57.7,16,101.9,102.8,101.7,57.7,30,11.7,18.7,8.5,,
294,14,3,Poderosa,2,POD,E4,154,292.8,706.6,1823.7,87.9,18,100.8,101.2,105.1,87.9,16,10.8,20.1,13.1,,
295,14,3,Poderosa,3,POD,E4,154,209,794.4,1304.2,62.2,19,101.2,101.7,102.6,62.2,18.9,8.6,21.6,9,,
296,14,3,Poderosa,4,POD,E4,154,178.2,905.8,3185.1,75.6,30,100.7,100.1,100.8,75.6,38,12.5,20,10.4,,
297,15,3,Huevo de Indio,1,HUE,E4,154,106.5,293.3,1433.5,41.9,19,100.1,101.2,103.8,41.9,33.2,8.7,22.8,4.5,,
298,15,3,Huevo de Indio,2,HUE,E4,154,359.5,785.3,2326.4,66.6,15,100.2,101.5,102.4,66.6,16.8,7,23,8.4,,
299,15,3,Huevo de Indio,3,HUE,E4,154,199.5,317.8,878.6,65.3,10,100.5,102.9,100.2,65.3,15,7.1,22.5,8.7,,
300,15,3,Huevo de Indio,4,HUE,E4,154,303.4,439,2013.9,69.5,17,100.3,101.1,102.6,69.5,18.2,7.2,22.5,8.5,,
301,16,4,Amarilis,1,AMA,E4,136,1032.7,607.8,3986.3,70.2,22,100.3,101.2,103.8,70.2,8.8,9.5,17,10.9,,
302,16,4,Amarilis,2,AMA,E4,136,705.8,400,3358.6,64.3,19,100.5,102,103.3,64.3,9.3,9.2,18.2,10,,
303,16,4,Amarilis,3,AMA,E4,136,674.5,385,2587.8,37.6,13,100.5,100.9,103.4,37.6,9.8,9.2,21.3,6.8,,
304,16,4,Amarilis,4,AMA,E4,136,916.2,612.5,3255.4,79.4,19,102,101.8,109.5,79.4,10.3,10.6,16.3,16.5,,
305,17,4,Bretaña,1,BRE,E4,154,553.7,1118.6,1904.5,84.5,20,102.4,101.2,103.2,84.5,12.1,7.6,25.3,12.6,,
306,17,4,Bretaña,2,BRE,E4,154,384.5,872.4,750.2,84.5,12,101.9,101.7,108.1,84.5,12.4,6.3,23.1,10.9,,
307,17,4,Bretaña,3,BRE,E4,154,318.7,956.5,1355.8,93.1,15,100.6,101.5,112.7,93.1,14.5,7.1,22,11.3,,
308,17,4,Bretaña,4,BRE,E4,154,197.8,714.3,885,118.7,11,103.8,102,104.6,100.4,23.6,8.5,21,10.1,,
309,18,4,Huevo de Indio,1,HUE,E4,154,66.6,120.5,345.2,34.6,9,66.6,101.9,102.1,34.6,11.1,7.5,25.2,4.3,,
310,18,4,Huevo de Indio,2,HUE,E4,154,85.9,135.3,446.3,25.7,6,85.9,101,100,25.7,12.6,7.4,25.9,3.6,,
311,18,4,Huevo de Indio,3,HUE,E4,154,154.7,160.3,1223.7,81.2,20,100.5,101.1,106.1,81.2,17.6,8.4,24.6,11.1,,
312,18,4,Huevo de Indio,4,HUE,E4,154,344.6,366.6,1256,57.6,16,100.3,100.9,107.2,57.6,14.9,8.3,26.8,7.7,,
313,19,4,Poderosa,1,POD,E4,154,310.5,853.4,2395.1,125.3,24,100.7,100.8,100.2,100.6,20.4,12.3,24,13.3,,
314,19,4,Poderosa,2,POD,E4,154,186.8,632.5,1639.7,82.3,16,101.6,101,104.7,82.3,21.4,10.9,23.2,11.3,,
315,19,4,Poderosa,3,POD,E4,154,293.7,815.7,2700.2,114.2,26,102.6,101.4,101.9,101.7,21.7,13.4,19.3,14.8,,
316,19,4,Poderosa,4,POD,E4,154,441.9,973.5,3104.4,194,38,100.9,102.5,102.6,102.2,20,13.6,24.4,15.6,,
317,20,4,Yungay,1,YUN,E4,154,283.6,604.2,1648.4,102.4,10,102.3,101.8,104.5,102.4,18,10.1,16.3,15,,
318,20,4,Yungay,2,YUN,E4,154,168.6,527.9,1555,108.2,25,101.2,100.6,102.1,101.3,21.1,10.4,16.3,17.5,,
319,20,4,Yungay,3,YUN,E4,154,152.3,326.4,1657.2,72.4,29,100.5,100.4,100.4,72.4,21.4,8.9,15.7,8.8,,
320,20,4,Yungay,4,YUN,E4,154,348.5,547.3,2828.4,99.7,30,100.5,101.8,101.9,99.7,23.3,9.7,18,12.8,,
321,1,1,Yungay,1,YUN,E5,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
322,1,1,Yungay,2,YUN,E5,178,28.5,91.6,2207.8,22.9,19,28.5,91.6,97.7,22.9,10.7,13,17.9,3.8,,
323,1,1,Yungay,3,YUN,E5,178,77.6,118.4,4056.6,33.6,46,77.6,100.5,100.6,33.6,43.5,42.7,18.4,6.8,,
324,1,1,Yungay,4,YUN,E5,178,53.1,150.5,3249.2,6.1,45,53.1,101.4,106.5,6.1,21.1,24.2,18.6,1.8,,
325,2,1,Huevo de Indio,1,HUE,E5,178,40.1,65.7,1255.8,35.7,17,40.1,65.7,96.5,35.7,22.9,21.3,23.6,10.2,,
326,2,1,Huevo de Indio,2,HUE,E5,178,10.1,17.5,1021.8,6.5,18,10.1,17.5,98.8,6.5,7.7,10.1,23.1,2.3,,
327,2,1,Huevo de Indio,3,HUE,E5,178,25.3,38.7,1243.1,15.3,15,25.3,38.7,111.2,15.3,12.9,13.2,26.6,5.3,,
328,2,1,Huevo de Indio,4,HUE,E5,178,60,102,1384.8,35.6,20,60,102,113,35.6,28.7,22,28.9,11,,
329,3,1,Poderosa,1,POD,E5,178,33,84.9,1938.6,18.6,24,33,84.9,113.9,18.6,26,54.3,25.8,6.6,,
330,3,1,Poderosa,2,POD,E5,178,37.8,97.2,1255.2,16,24,37.8,97.2,115,16,28,54.6,26.2,5.6,,
331,3,1,Poderosa,3,POD,E5,178,64.5,116.4,2445.4,15.4,27,64.5,101.2,103.5,15.4,49.9,74,24,6.3,,
332,3,1,Poderosa,4,POD,E5,178,65.4,153.9,1621,21.1,15,65.4,100.6,100.2,21.1,40.2,59.9,24.2,9.7,,
333,4,1,Bretaña,1,BRE,E5,178,26.1,66.7,503.4,38.2,8,26.1,66.7,94.9,38.2,8.6,6,17,7.9,,
334,4,1,Bretaña,2,BRE,E5,178,210.4,396.7,1332.4,55.3,7,100.1,101.8,121.3,55.3,18.2,8.5,33.4,11,,
335,4,1,Bretaña,3,BRE,E5,178,171.8,402.5,1600.2,47.5,22,95.6,100.7,112.4,47.5,27.7,11,26.4,8.8,,
336,4,1,Bretaña,4,BRE,E5,178,136.2,384.7,1538.5,49.4,15,93.9,100.7,96.5,49.4,35.5,9.3,22.3,11.7,,
337,5,1,Amarilis,1,AMA,E5,154,363.9,370.8,3282.7,44.7,8,103,100,105.4,44.7,16.5,9.2,21.8,6.4,,
338,5,1,Amarilis,2,AMA,E5,154,66.1,155.2,1855.3,16.8,8,66.1,101.4,105.9,16.8,21.4,10.2,19.3,3,,
339,5,1,Amarilis,3,AMA,E5,154,37.6,99.2,1878.6,20.3,15,37.6,99.2,106,20.3,17.2,15.7,12.4,3,,
340,5,1,Amarilis,4,AMA,E5,154,222.6,392.3,3147.1,39.5,16,103.6,107.6,111.5,39.5,25.8,8.8,18.4,6.4,,
341,6,2,Yungay,1,YUN,E5,178,52.4,38.9,2395.6,15.3,38,52.4,38.9,113.8,15.3,34.9,24.7,15.5,5.7,,
342,6,2,Yungay,2,YUN,E5,178,44.7,132.4,2574.1,35.6,25,44.7,100.2,113.3,35.6,26.3,31.1,17.6,11.6,,
343,6,2,Yungay,3,YUN,E5,178,106.8,424.5,3353.4,34.4,22,100.5,103.1,103.5,34.4,54.3,22.9,19.4,13.7,,
344,6,2,Yungay,4,YUN,E5,178,28.5,207.6,1745.2,33.7,13,28.5,101.6,116.5,33.7,12.8,12.3,21.8,10.3,,
345,7,2,Amarilis,1,AMA,E5,154,47.8,196.1,2562.1,34.1,15,47.8,106.7,103,34.1,34.1,14.5,21.2,5.8,,
346,7,2,Amarilis,2,AMA,E5,154,176.2,200.7,2035.7,35.5,13,102.9,100.4,105.5,35.5,18.1,9.8,23.1,6.4,,
347,7,2,Amarilis,3,AMA,E5,154,82.7,151.8,1527,25.1,16,82.7,105.1,106,25.1,19.5,9.5,17.3,4,,
348,7,2,Amarilis,4,AMA,E5,154,118.9,113.4,1642.3,29.1,14,101.1,100.8,103,29.1,20.6,9.6,20.2,4.5,,
349,8,2,Huevo de Indio,1,HUE,E5,178,133.1,182.6,1792.4,46.5,19,102,101.4,110.4,46.5,22.5,12,25.1,9.5,,
350,8,2,Huevo de Indio,2,HUE,E5,178,52.6,92.9,1012.8,24.5,15,52.6,92.9,104.4,24.5,31.5,23,26.3,9.6,,
351,8,2,Huevo de Indio,3,HUE,E5,178,48.6,36,1313.7,7.7,14,48.6,36,107.5,7.7,28.1,16.5,29.2,3.8,,
352,8,2,Huevo de Indio,4,HUE,E5,178,16.3,16.1,353.1,6.3,9,16.3,16.1,127.4,6.3,10.2,8.8,28.5,3.4,,
353,9,2,Bretaña,1,BRE,E5,178,331.3,622.9,1781.7,160.3,20,101.5,101.5,109.7,103.5,19.9,10.1,27.9,17.9,,
354,9,2,Bretaña,2,BRE,E5,178,156.6,365.1,1607.8,119.2,20,100.9,103,94.3,104.7,37.1,16.9,22.4,20.3,,
355,9,2,Bretaña,3,BRE,E5,178,270.9,300.6,1534.4,73.2,20,90.1,100.8,114.3,73.2,28.1,14.5,31.4,14.9,,
356,9,2,Bretaña,4,BRE,E5,178,244.5,245.2,1181.3,101,17,99.2,99.9,103.5,101,25.8,11.4,27.2,17.8,,
357,10,2,Poderosa,1,POD,E5,178,25.7,87.4,1854.2,29.2,25,25.7,87.4,105.5,29.2,17.7,51.3,22.3,9.1,,
358,10,2,Poderosa,2,POD,E5,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
359,10,2,Poderosa,3,POD,E5,178,115.7,358.4,2220.4,61.1,16,95.9,100.7,112.8,61.1,47.4,33.9,24.2,12.9,,
360,10,2,Poderosa,4,POD,E5,178,118.8,435.8,2741.8,52.7,26,91,100.4,114.2,52.7,31.1,21.7,24.4,13.4,,
361,11,3,Amarilis,1,AMA,E5,154,119.5,154.5,1463.9,30.5,14,100.7,103.8,106.1,30.5,20.7,9.4,17,4.8,,
362,11,3,Amarilis,2,AMA,E5,154,57.3,154.9,1496.5,26.9,18,57.3,100.5,102,26.9,10.9,8.2,22.7,4.5,,
363,11,3,Amarilis,3,AMA,E5,154,184,122.8,1603.6,31,16,101.5,100.6,102.5,31,13.7,9.1,15.7,4.2,,
364,11,3,Amarilis,4,AMA,E5,154,182.5,233.2,2779.6,55,21,100.4,102,101.2,55,17.3,9.3,23.4,7.8,,
365,12,3,Yungay,1,YUN,E5,178,22.3,43.7,762.7,59.6,16,22.3,43.7,116.6,59.6,11.4,7.9,22.5,9.5,,
366,12,3,Yungay,2,YUN,E5,178,46,74.5,1107.1,84.5,18,46,74.5,114.8,84.2,20.3,10.7,24.3,21.3,,
367,12,3,Yungay,3,YUN,E5,178,30.8,106.2,1640.3,102.4,35,30.8,100.3,127.9,102.4,13.1,19.9,24.8,29.8,,
368,12,3,Yungay,4,YUN,E5,178,80.4,151.9,1732.2,141.8,27,80.4,101.6,108.1,104.8,24,12.9,19.8,19.7,,
369,13,3,Bretaña,1,BRE,E5,178,368.7,447.1,2620.3,171.2,25,91.7,101,103.5,106.3,34.4,12.9,25.8,20.6,,
370,13,3,Bretaña,2,BRE,E5,178,232.3,299.1,1223.9,85.2,15,96.9,101.2,100.8,66.9,19.5,12.7,27,13.5,,
371,13,3,Bretaña,3,BRE,E5,178,86.7,212.3,867,62.2,11,86.7,100.6,93.1,62.2,22.9,13.9,25.9,11.1,,
372,13,3,Bretaña,4,BRE,E5,178,317.6,443.7,1804.2,127,13,100.7,104.1,100.4,104.1,19.8,10.8,27.3,21.3,,
373,14,3,Poderosa,1,POD,E5,178,38,83.4,2034.6,28,26,38,83.4,109.9,28,26.3,47.5,25.9,8.9,,
