DATE,TMIN,TEMP,TMAX,RHUM,WVEL,PREC,SRAD
2024-01-22,7.0,9.0,12.1,94.6,2.0,7.0,11.4
2024-01-23,6.4,9.5,13.1,90.2,2.7,0.0,17.5
2024-01-24,6.2,9.7,14.3,91.2,1.2,0.0,15.2
2024-01-25,7.1,10.8,15.9,89.5,1.2,0.0,21.5
2024-01-26,6.6,10.3,16.7,89.0,1.4,0.4,21.1
2024-01-27,6.7,8.9,11.6,93.8,0.9,5.6,9.1
2024-01-28,7.1,8.8,11.9,96.5,1.0,13.6,9.4
2024-01-29,6.3,10.2,15.5,91.1,1.1,0.0,18.5
2024-01-30,7.8,10.5,15.4,89.8,1.1,0.0,17.8
2024-01-31,7.4,9.0,12.4,95.1,0.7,11.4,8.5
2024-02-01,7.1,8.6,12.7,94.3,0.9,10.4,9.8
2024-02-02,5.6,8.4,11.8,92.7,1.6,8.4,14.2
2024-02-03,6.8,8.1,11.4,96.4,1.5,3.4,10.5
2024-02-04,6.5,8.8,12.5,90.5,3.0,1.4,16.4
2024-02-05,5.1,8.8,12.8,80.3,2.9,0.0,20.8
2024-02-06,5.1,8.4,12.6,84.2,2.5,0.4,21.0
2024-02-07,5.2,8.2,12.3,87.7,2.4,0.8,17.4
2024-02-08,5.4,9.2,14.6,87.1,1.6,2.8,18.3
2024-02-09,6.7,9.5,14.2,88.0,1.4,0.2,13.4
2024-02-10,4.8,8.9,13.8,88.0,1.8,11.6,13.8
2024-02-11,6.0,9.3,14.4,92.3,1.2,12.0,15.7
2024-02-12,7.4,9.3,12.9,94.8,1.4,0.0,10.6
2024-02-13,7.4,9.0,12.2,96.9,1.5,10.2,8.8
2024-02-14,7.2,9.0,11.7,92.5,3.0,1.0,10.0
2024-02-15,6.7,8.9,12.2,92.0,3.0,4.6,11.6
2024-02-16,7.4,9.3,12.1,89.9,3.5,1.2,16.6
2024-02-17,5.9,8.5,11.5,88.1,2.3,0.0,11.2
2024-02-18,5.5,8.8,12.8,89.5,2.0,0.0,12.4
2024-02-19,7.1,8.7,11.6,96.7,1.4,12.4,9.0
2024-02-20,5.5,8.5,13.8,90.4,2.4,0.0,18.5
2024-02-21,3.2,7.1,12.7,79.4,2.4,0.0,19.0
2024-02-22,2.8,7.2,13.9,71.8,2.6,0.0,23.2
2024-02-23,2.2,8.0,15.6,60.3,2.3,0.0,23.5
2024-02-24,4.1,9.2,16.3,79.1,1.9,0.0,26.0
2024-02-25,4.2,8.8,15.3,71.0,2.5,0.0,21.8
2024-02-26,5.2,7.6,10.8,82.9,1.2,0.2,10.6
2024-02-27,5.4,8.9,13.5,90.4,1.2,0.2,11.2
2024-02-28,6.2,9.3,14.2,90.7,1.7,0.2,17.3
2024-02-29,6.1,8.2,12.6,95.2,1.2,2.0,10.0
2024-03-01,6.0,7.5,10.7,96.1,1.3,7.0,7.6
2024-03-02,4.8,7.8,11.3,95.0,1.1,12.4,12.3
2024-03-03,5.8,8.2,12.2,96.0,0.9,19.8,12.5
2024-03-04,6.1,8.8,12.7,88.3,2.9,3.0,16.5
2024-03-05,6.3,8.1,11.9,92.4,1.8,15.0,12.5
2024-03-06,5.3,7.6,11.7,91.1,2.3,3.6,15.0
2024-03-07,5.8,7.9,11.9,96.2,1.5,21.6,11.2
2024-03-08,5.7,8.2,12.8,94.6,1.4,2.0,17.5
2024-03-09,6.4,8.2,12.5,94.8,1.6,9.8,13.5
2024-03-10,4.8,5.8,6.8,98.2,0.9,34.6,5.6
2024-03-11,4.5,6.6,9.9,96.2,1.6,11.8,10.7
2024-03-12,4.5,6.4,10.9,95.9,2.1,25.0,11.2
2024-03-13,3.6,6.3,10.7,94.4,1.0,44.4,10.8
2024-03-14,3.3,5.3,7.9,96.0,1.7,21.2,8.9
2024-03-15,4.3,6.3,10.3,95.0,2.2,2.6,12.8
2024-03-16,3.8,6.1,10.4,94.4,2.1,7.6,10.1
2024-03-17,3.4,6.4,11.0,92.6,1.8,1.2,11.3
2024-03-18,3.8,5.9,9.3,94.9,0.8,1.8,9.4
2024-03-19,4.7,7.0,12.2,92.4,1.8,3.4,15.8
2024-03-20,3.3,7.4,13.1,86.8,2.7,0.0,23.8
2024-03-21,3.9,7.6,13.2,80.2,2.3,0.0,21.0
2024-03-22,3.8,8.2,13.2,57.4,1.9,0.0,18.6
2024-03-23,3.1,8.0,13.8,62.1,1.8,0.0,22.4
2024-03-24,5.5,7.6,11.5,76.5,1.3,0.0,14.1
2024-03-25,4.4,6.7,9.9,90.6,1.0,2.4,10.0
2024-03-26,5.3,7.6,11.4,92.0,1.9,0.0,11.7
2024-03-27,5.8,7.1,9.2,94.2,1.6,2.0,8.4
2024-03-28,4.9,7.6,12.0,89.4,2.1,1.2,15.8
2024-03-29,4.6,7.8,11.6,92.8,1.2,1.4,13.2
2024-03-30,5.5,7.1,9.4,94.0,2.0,7.4,11.1
2024-03-31,5.3,7.9,11.5,88.8,3.0,0.0,20.6
2024-04-01,4.4,7.3,10.6,89.9,2.9,10.0,17.4
2024-04-02,5.7,8.0,11.6,89.2,2.6,2.2,16.1
2024-04-03,4.4,7.9,12.2,88.4,2.3,0.8,15.6
2024-04-04,4.2,8.0,13.1,90.0,1.1,1.0,16.5
2024-04-05,5.3,7.1,10.8,94.5,1.3,2.2,9.3
2024-04-06,4.4,7.2,10.8,92.9,1.7,5.4,12.9
2024-04-07,4.7,7.1,10.9,95.6,1.1,4.2,9.7
2024-04-08,4.5,6.7,9.9,93.7,2.2,8.2,12.2
2024-04-09,5.0,7.4,10.6,92.4,2.6,0.0,13.1
2024-04-10,4.3,7.6,11.3,89.4,2.4,0.0,15.2
2024-04-11,5.8,7.6,10.9,89.9,2.1,0.0,13.4
2024-04-12,4.8,7.8,12.1,89.8,1.7,0.6,16.7
2024-04-13,4.6,7.8,12.6,88.7,2.0,0.6,16.4
2024-04-14,4.8,8.4,13.0,90.8,1.0,0.2,16.5
2024-04-15,5.5,7.9,12.8,91.1,1.5,17.6,11.9
2024-04-16,5.0,7.6,12.9,93.1,1.3,4.8,14.4
2024-04-17,4.8,6.7,8.9,93.4,1.7,10.6,7.8
2024-04-18,4.8,7.5,11.8,91.6,1.1,6.8,11.1
